name,score (take this with a grain of salt),Type of server (research/general etc),"what specifcally (llm research,tools,etc)","Activity (va: multiple posts an hour, active: posts a few times a day or so; semi-active posts a week/ whenever someone asks something, mostly inactive, inactive) ;Not related to reading group etc activites.;If they have those things then they are probably active ; includes projects",Annoucements/company activity,Community projects?,Research paper reading group?,Other Reading group? (eg math),Events/workshops etc,resources/helpfulness etc,other/notes (server size),"usefulness on what based on(eg:github,youtuber,etc) FOR TOOLS",links: (the links usually has the discord invite; google or dm me  if it isnt there) disc:seonresearch,notes,Tags (to be used in database),,,,,,,
EleutherAI,8.1,research ,"usually LLM, but most types of research is done here",very active,very active,yes. For various fields can add your own,yes;various on various days,yes ; various,no,yes.,runs pythia; an LLM. Can ask for tokens,useful,https://www.eleuther.ai/,Lots of resources; community projects to do and reading groups.,very active,research,LLM,alignment,community projects,events/workshop,discord,interpretability
Cohere for AI,8.1,research,"Making AI's,learing group,lots of stuff now","very active, Need to do a survey  and they'll judge to join",,"sort of, yes",yes,various events etc,workshops etc,-,-,-,https://share.hsforms.com/10OrjljwpQ52ILJA6ftENIwch5vw ,"pretty good! lots of stuff to do for various skill levels,pretty active as well",very active,research,multimodal,general ai research,community projects,events/workshop,reading group,
Alignment Jams,7.8,Hackathons,Alignment,Very active,very active,sometimes work on a project after the hackathon is over,-,-,hackathons,lots of ideas to try and do,easy to get into,-,https://alignmentjam.com/,  the only ai alignment hackathon so that bumps the score up a lot. more follow-ups would be nice though,,,,,,,,
manifold research group,7.8,research,"autonomous ai,among others",active,active,projects on site,-,various talks once in a while,"https://www.manifoldrg.com/events/
yes",-,-,-,https://www.manifoldrg.com/,another pretty standard research server; this one focuses on various things,,,,,,,,
ai-plans,7.6,ai alignment,various ai stuff ,active,semi active,discord has stuff to do,yes,-,-,-,-,-,https://ai-plans.com/,server is active and owners do stuff,,,,,,,,
Open world labs,7.5,research,"various AI gaming stuff,among others",very active,very active,projects on site,-,-,-,-,-,-,https://openworldlabs.ai/,another pretty standard research server; this one focuses on various things,,,,,,,,
Mechanistic interpretability discord,7.4, research ,mech interp (transformer research),active,active,yes can add your own,weekly wednesdays at 1pm ET (10-20 people),-,"hackathon once a year , events board",useful if in the field/wanting to go into,-,-,https://www.lesswrong.com/posts/ePGwx2uyjnvT8vWEL/mechanistic-interpretability-reading-group ,Useful if you want to go into or try mechanistic interpretability/learn about it,,,,,,,,
Gpu mode,7.4,"CUDA,gpu kernel development, triton, torch optimization",,very active,active,yes,yes; https://www.youtube.com/channel/UCJgIbYl6C5no72a0NUAPcTA,-,"jobs board,links",-,-,-,https://github.com/gpu-mode,pretty good education server esp for cuda stuff (goes hand in hand with ai development),,,,,,,,
Developmental Interpetability (slt and ai safety),7.3,research, singular learning theory among others,semi active,semi active,https://devinterp.com/projects,https://metauni.org/slt/ (on metauni),-,jobs board,useful if you want to know about Singular learning theory,discord not too active but people will respond if you have questions,-,https://devinterp.com/,Decently active- there is discussion about other non SLT interp things as well.,,,,,,,,
Active Inference institute,7.3,research,active inference  (think:markov chains among a lot of other things),very active,very active,yes,-,yes active and various at various times,work grant stuff,-,-,-,https://www.activeinference.org/,"does active inference, pretty active, different from most regular ai servers",,,,,,,,
